STATION_NAME,RED,BLUE,G,BRN,P,Y,Pnk,O,Latitude,Longitude
Kedzie,false,false,false,true,false,false,false,false,"(41.965996,",-87.708821)
Kedzie,false,false,false,true,false,false,false,false,"(41.965996,",-87.708821)
Kedzie,false,false,true,false,false,false,false,false,"(41.884321,",-87.706155)
Kedzie,false,false,true,false,false,false,false,false,"(41.884321,",-87.706155)
Kedzie-Homan,false,true,false,false,false,false,false,false,"(41.874341,",-87.70604)
Kedzie-Homan,false,true,false,false,false,false,false,false,"(41.874341,",-87.70604)
Kimball,false,false,false,true,false,false,false,false,"(41.967901,",-87.713065)
Kimball,false,false,false,true,false,false,false,false,"(41.967901,",-87.713065)
KingDrive,false,false,true,false,false,false,false,false,"(41.78013,",-87.615546)
KingDrive,false,false,true,false,false,false,false,false,"(41.78013,",-87.615546)
Kostner,false,false,false,false,false,false,true,false,"(41.853751,",-87.733258)
Kostner,false,false,false,false,false,false,true,false,"(41.853751,",-87.733258)
Laramie,false,false,true,false,false,false,false,false,"(41.887163,",-87.754986)
Laramie,false,false,true,false,false,false,false,false,"(41.887163,",-87.754986)
LaSalle,false,true,false,false,false,false,false,false,"(41.875568,",-87.631722)
LaSalle,false,true,false,false,false,false,false,false,"(41.875568,",-87.631722)
LaSalle/Van Buren,false,false,false,false,false,false,true,true,"(41.8768,",-87.631739)
LaSalle/Van Buren,false,false,false,true,false,false,false,false,"(41.8768,",-87.631739)
Lawrence,true,false,false,false,false,false,false,false,"(41.969139,",-87.658493)
Lawrence,true,false,false,false,false,false,false,false,"(41.969139,",-87.658493)
Linden,false,false,false,false,true,false,false,false,"(42.073153,",-87.69073)
Linden,false,false,false,false,true,false,false,false,"(42.073153,",-87.69073)
LoganSquare,false,true,false,false,false,false,false,false,"(41.929728,",-87.708541)
LoganSquare,false,true,false,false,false,false,false,false,"(41.929728,",-87.708541)
Loyola,true,false,false,false,false,false,false,false,"(42.001073,",-87.661061)
Loyola,true,false,false,false,false,false,false,false,"(42.001073,",-87.661061)
Main,false,false,false,false,true,false,false,false,"(42.033456,",-87.679538)
Main,false,false,false,false,true,false,false,false,"(42.033456,",-87.679538)
Merchandise Mart,false,false,false,true,false,false,false,false,"(41.888969,",-87.633924)
Merchandise Mart,false,false,false,true,false,false,false,false,"(41.888969,",-87.633924)
Midway,false,false,false,false,false,false,false,true,"(41.78661,",-87.737875)
Midway,false,false,false,false,false,false,false,true,"(41.78661,",-87.737875)
Montrose,false,true,false,false,false,false,false,false,"(41.961539,",-87.743574)
Montrose,false,true,false,false,false,false,false,false,"(41.961539,",-87.743574)
Montrose,false,false,false,true,false,false,false,false,"(41.961756,",-87.675047)
Montrose,false,false,false,true,false,false,false,false,"(41.961756,",-87.675047)
Morgan,false,false,true,false,false,false,true,false,"(41.885586,",-87.652193)
Morgan,false,false,true,false,false,false,true,false,"(41.885586,",-87.652193)
Morse,true,false,false,false,false,false,false,false,"(42.008362,",-87.665909)
Lake,true,false,false,false,false,false,false,false,"(41.884809,",-87.627813)
Monroe,false,true,false,false,false,false,false,false,"(41.880703,",-87.629378)
Monroe,true,false,false,false,false,false,false,false,"(41.880745,",-87.627696)
Monroe,true,false,false,false,false,false,false,false,"(41.880745,",-87.627696)
Monroe,false,true,false,false,false,false,false,false,"(41.880703,",-87.629378)
Morse,true,false,false,false,false,false,false,false,"(42.008362,",-87.665909)
North/Clybourn,true,false,false,false,false,false,false,false,"(41.910655,",-87.649177)
North/Clybourn,true,false,false,false,false,false,false,false,"(41.910655,",-87.649177)
Noyes,false,false,false,false,true,false,false,false,"(42.058282,",-87.683337)
Noyes,false,false,false,false,true,false,false,false,"(42.058282,",-87.683337)
OakPark,false,true,false,false,false,false,false,false,"(41.872108,",-87.791602)
OakPark,false,true,false,false,false,false,false,false,"(41.872108,",-87.791602)
OakPark,false,false,true,false,false,false,false,false,"(41.886988,",-87.793783)
OakPark,false,false,true,false,false,false,false,false,"(41.886988,",-87.793783)
Paulina,false,false,false,true,false,false,false,false,"(41.943623,",-87.670907)
Paulina,false,false,false,true,false,false,false,false,"(41.943623,",-87.670907)
Polk,false,false,false,false,false,false,true,false,"(41.871551,",-87.66953)
Polk,false,false,false,false,false,false,true,false,"(41.871551,",-87.66953)
Pulaski,false,false,false,false,false,false,false,true,"(41.799756,",-87.724493)
Pulaski,false,false,false,false,false,false,false,true,"(41.799756,",-87.724493)
Pulaski,false,false,false,false,false,false,true,false,"(41.853732,",-87.724311)
Pulaski,false,false,false,false,false,false,true,false,"(41.853732,",-87.724311)
Pulaski,false,true,false,false,false,false,false,false,"(41.873797,",-87.725663)
Pulaski,false,true,false,false,false,false,false,false,"(41.873797,",-87.725663)
Pulaski,false,false,true,false,false,false,false,false,"(41.885412,",-87.725404)
Pulaski,false,false,true,false,false,false,false,false,"(41.885412,",-87.725404)
Quincy/Wells,false,false,false,false,false,false,true,true,"(41.878723,",-87.63374)
Quincy/Wells,false,false,false,true,false,false,false,false,"(41.878723,",-87.63374)
Racine,false,true,false,false,false,false,false,false,"(41.87592,",-87.659458)
